,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
9745,569684101197910016,negative,1.0,Customer Service Issue,1.0,US Airways,,KOstrowka,,0,@USAirways I've been on hold for 90 minutes. This is terrible customer service. You messed up my reservation! http://t.co/oyLgeao7Y8,,2015-02-22 18:24:08 -0800,"Raleigh, NC",Eastern Time (US & Canada)
13100,569940582572945409,negative,1.0,Flight Booking Problems,0.3652,American,,dgoot,,0,@AmericanAir How can I get a flight change while in the air? Delays causing a missed connection again. There is 1 seat for Late Flightr,,2015-02-23 11:23:18 -0800,"Boston, MA",Mountain Time (US & Canada)
1826,569567685719101440,negative,1.0,Customer Service Issue,0.6659,United,,Eivind_G,,0,"@united When my United flight arrives Late Flight and I'm told to re-book my connecting United flight, you characterize that as a ""no show""","[29.98707518, -95.33783524]",2015-02-22 10:41:32 -0800,"Stavanger, Norway",
5801,568587228353585154,negative,1.0,Late Flight,1.0,Southwest,,kgLate Flightshow10,,0,"@SouthwestAir Dear SWA, I fly you a lot.   Most of the time, amazing. Today: unacceptable.I am sitting here in Midway delayed 20 min....",,2015-02-19 17:45:33 -0800,'Zona,
967,569986029463011328,negative,1.0,Customer Service Issue,1.0,United,,dfpietra,,0,@united @dfpietra THAT'S your response?  Shaking my head back and forth with a tsk. You can do better-from customer service to your apology,,2015-02-23 14:23:53 -0800,"West Hollywood, CA",
11779,567763065706250240,negative,1.0,Flight Booking Problems,0.708,US Airways,,shoobe01,,0,"@usairways If I could/wanted to call I wouldn't use the internet to make a reservation.

Site won't work on Chrome, on several computers.",,2015-02-17 11:10:38 -0800,"Mission, Kansas",
4323,567594579310825473,negative,1.0,Bad Flight,0.6707,United,,brenduch,,0,"@united and don't hope for me having a nicer flight some other time, try to do things right. You sold me those tickets with that connetion",,2015-02-17 00:01:07 -0800,,Buenos Aires
2438,569208067243401217,neutral,1.0,,,United,,jimccooper,,0,@united I was able to get a seat on earlier flight sfo to ind.  Can you add me to 6pm ord to IND?,,2015-02-21 10:52:33 -0800,,Eastern Time (US & Canada)
5262,569226157901684736,neutral,0.6917,,0.0,Southwest,,YahooSchwab,,0,@SouthwestAir I actually could use a slight tweak to my return - not leaving here now til Monday -any way I can skip calling for that?,,2015-02-21 12:04:26 -0800,Denver,Mountain Time (US & Canada)
720,570129828969459712,negative,1.0,Cancelled Flight,0.6829,United,,lindaSWC,,0,@united completed form but doubt it's any use. UA doesn't care. 6 day vacation will now be 5. Sure UA won't feel responsibility for that...,,2015-02-23 23:55:18 -0800,,
8679,568034012930936832,negative,1.0,Customer Service Issue,0.6788,Delta,,rjburnsva,,0,@JetBlue your agents at IAD have compounded this problem by not making any announcements #jetbluemess,,2015-02-18 05:07:16 -0800,,Eastern Time (US & Canada)
2049,569431307152953344,negative,1.0,Lost Luggage,1.0,United,,MaxAbrahms,,0,".@united I wouldn't describe feces sprinkled in your bathroom as an inconvenience. To help, you might find my baggage you lost &amp; return it.",,2015-02-22 01:39:37 -0800,"Boston, MA",Atlantic Time (Canada)
10150,569521573268480002,negative,0.6923,Flight Booking Problems,0.6923,US Airways,,ALfamilyoffour,,0,@USAirways my in-laws flight Cancelled Flighted 4 tonight. U auto rebooked 4 flight on Tuesday that doesn't work. Can you help reFlight Booking Problems them?,,2015-02-22 07:38:18 -0800,Alabama,Central Time (US & Canada)
12542,570118668551458816,neutral,0.6687,,0.0,American,,sherscott,,0,@AmericanAir and btwn gate a8 &amp; a15 I lost a diamond earring #dayjustgotWORSE! Pls have maintenance look for it!! http://t.co/UieSR3GHHO,,2015-02-23 23:10:57 -0800,Houston,Central Time (US & Canada)
4031,567862940348579840,negative,1.0,Late Flight,0.3419,United,,Tgoody9,,0,@united I've been doing this for 15 years and I've never had this many issues with any other airline.,"[40.69428253, -74.17219198]",2015-02-17 17:47:30 -0800,"Sarasota, Florida ",Central Time (US & Canada)
11268,568255924130983936,negative,1.0,Customer Service Issue,0.3616,US Airways,,KBStrauss,,0,@USAirways I have run out of patience.. We are sitting in a bus without air in front of plane and there is no communication from anyone40min,,2015-02-18 19:49:04 -0800,New York City,Eastern Time (US & Canada)
12568,570101550787350528,positive,1.0,,,American,,MDTwankyTwank,,0,"@AmericanAir just curious. Thanks for the response as always, good or bad. Better than your competition.",,2015-02-23 22:02:56 -0800,"Greenbow, Alabama",
7895,569075196117839872,neutral,1.0,,,Delta,,theycallme_HH,,0,@JetBlue we are trying to go as far away from King'sCollegeLondon as possible for charity today. Would you help us ? #jailbreak #RAG,"[0.0, 0.0]",2015-02-21 02:04:34 -0800,Orleans/Tarpon Springs/London,Amsterdam
3025,568793043664560128,negative,1.0,Flight Booking Problems,0.6733,United,,Amybabic,,0,@united 2nd time in a row  I've been over charged by 100's of $$ on my plane ticket WHY? #united I shouldn't have to check my CC everytime,,2015-02-20 07:23:23 -0800,"New York, Ny",
10846,568826004891832321,negative,1.0,Cancelled Flight,0.6552,US Airways,,kimlynam2,,0,@USAirways Not happy with start of trip!  Cancelled Flightled flight #poor customerservice,,2015-02-20 09:34:22 -0800,,
1858,569550779520032770,neutral,1.0,,,United,,opjebekrol,,0,@united Is a snowboard boot bag included in the standard checked baggage next to the snowboard bag?,,2015-02-22 09:34:22 -0800,,
925,570009743160254464,neutral,1.0,,,United,,SmartBlondeSolu,,0,@united what's a girl gotta do to get a flight name change when SHE bought one for a mean ex boyfriend and needs a girl's trip stat?!,,2015-02-23 15:58:07 -0800,"Fort Worth, Texas",Central Time (US & Canada)
14478,569609396461936640,positive,1.0,,,American,,BrophySheen,,0,@AmericanAir Nicest people ever flight to Chicago.Thanks David Deane &amp; Norma Sedholm for making me feel comfortable ✈️✈️✈️✈️✈️✈️✈️,,2015-02-22 13:27:17 -0800,New Jersey,
3617,568231586585550848,positive,1.0,,,United,,gasbabe,,0,"@united @staralliance was there few weeks ago AWESOME,bright vibrant, and NO habitrails",,2015-02-18 18:12:22 -0800,Chicagoland,
9493,569907782108839938,negative,0.967,Can't Tell,0.8042,US Airways,negative,mydulcebella,Can't Tell,1,@USAirways / @AmericanAir don't forget without your customers you would be out of business! #epicfail #usairwaysfail,,2015-02-23 09:12:58 -0800,Pennsylvania,Eastern Time (US & Canada)
4085,567828700726620160,negative,1.0,Customer Service Issue,0.6522,United,,wendysue411,,0,@united once again your customer service rep was rude!   I asked a question and in turn got attitude.  Jane was no help.  Disgusted again!,,2015-02-17 15:31:26 -0800,,
12088,570296616688750592,neutral,1.0,,,American,,AesaGaming,,0,@AmericanAir Trying desperately to get my boyfriend booked on the same US Airways flight as myself for the same price. Can you help?,,2015-02-24 10:58:03 -0800,,
14508,569605602961281024,negative,1.0,Flight Attendant Complaints,0.66,American,,jddowsett,,0,@AmericanAir yet there are plenty of available AA agents at gates nearby who say they are unable to help customers from our flight.,,2015-02-22 13:12:13 -0800,"PA, NY & HI",Quito
10410,569325844931448832,negative,1.0,Late Flight,0.6509,US Airways,,FalconjcJohn,,0,@USAirways Never mind that you could have told the gate I was on my way - you could delay 10 mins but not 15?,,2015-02-21 18:40:33 -0800,,
12537,570122183072092160,negative,1.0,Customer Service Issue,1.0,American,,danilo23donna,,0,@AmericanAir what kind if airlines do you guys run? The people that got in line first received hotel vouchers? Terrible customer service!,,2015-02-23 23:24:55 -0800,,
13348,569884462051418112,negative,1.0,Can't Tell,0.6887,American,,61jr,,0,"@AmericanAir - So does that mean your other flights going into Buffalo from other locations, you don't care about their safety?",,2015-02-23 07:40:18 -0800,St. Catharines,
10170,569508277026983937,negative,1.0,Flight Attendant Complaints,1.0,US Airways,,SamanthaKayeA,,0,@USAirways flight #3739 leaving CVG. Gate agent had no computer and counted passengers on paper. I feel safe.,,2015-02-22 06:45:28 -0800,"Cincinnati, OH",Eastern Time (US & Canada)
12673,570066231757180928,negative,0.6566,Customer Service Issue,0.6566,American,,RobGlaser,,0,@AmericanAir thx for the apology.   A commitment to fix your broken system would be better.  Actually fixing it would be better still.,,2015-02-23 19:42:35 -0800,"Seattle, WA, USA",
9538,569886537128632320,negative,1.0,Cancelled Flight,0.6967,US Airways,,TheRealChrisCin,,0,"@USAirways flight US1562 from RIC2DFW was Cancelled Flightled yesterday &amp; I was on hold w/ cust. service from 6-10pm EST...4 hours, no answer...",,2015-02-23 07:48:33 -0800,"Richmond, VA",Central Time (US & Canada)
12658,570071877089148928,neutral,1.0,,,American,,muyguapo8,,0,@AmericanAir Can I use an SWU on an Finnair codeshare of an American operated flight (JFK-MAN)?  Thanks in advance for the help!,,2015-02-23 20:05:01 -0800,,Eastern Time (US & Canada)
1471,569706638283833344,negative,1.0,Late Flight,0.3552,United,,rebeccafrack,,1,"@united really needs to get its act together. Really disappointed in our change of flight, delayed flights, etc.",,2015-02-22 19:53:41 -0800,"Monkton, Maryland ",Eastern Time (US & Canada)
6300,568074028990259200,neutral,0.6795,,0.0,Southwest,,jade_boucher,,0,@SouthwestAir when are you opening the flights beyond august 7th???,,2015-02-18 07:46:17 -0800,Windsor& Los Angeles-Cali Life,Pacific Time (US & Canada)
2014,569475000660422656,neutral,1.0,,,United,,meigheyburn,,0,@united it can't be delivered. It has to be held there for me to cross the border to pick up. Please don't try to deliver.,,2015-02-22 04:33:15 -0800,"Akron, Ohio",Eastern Time (US & Canada)
3461,568424307031805952,negative,1.0,Can't Tell,0.687,United,,promitsanyal,,0,@united that's what I have been told. But refund doesn't really makeup for the inconvenience caused and the missed meeting... Does it?,,2015-02-19 06:58:10 -0800,Bangalore,New Delhi
10093,569539560910282752,negative,1.0,Flight Booking Problems,0.703,US Airways,,sfoosness,,0,@USAirways No one answers your reservation phone line. I need to book travel with a  companion certificate. How do I get through?!!!,,2015-02-22 08:49:47 -0800,"Durham, NC",Atlantic Time (Canada)
3255,568567425106628609,negative,1.0,Customer Service Issue,1.0,United,,Jaytolchinsky,,0,@united look at the Twitter history - as usual service non existent,,2015-02-19 16:26:52 -0800,,Central Time (US & Canada)
1184,569902743135117314,negative,1.0,Late Flight,1.0,United,,gwen1013,,1,@united Do we know why UA5282 is delayed x2)? This is getting crazy. I've already had 2 overnight delays. #UnitedAirlines,,2015-02-23 08:52:56 -0800,"New Haven, CT",
13191,569917442455175168,neutral,0.6431,,0.0,American,,politicalpizza,,0,@AmericanAir need help on a reservation. Can you follow so that I can DM details? Thanks!,,2015-02-23 09:51:21 -0800,NYC,Eastern Time (US & Canada)
2825,568882601261273089,negative,1.0,Customer Service Issue,0.648,United,,andreamvdlg,,0,"@united its my one and only checked bag, which is checked to edinburgh, however i am being charged randomly from dc to newark",,2015-02-20 13:19:16 -0800,Edinbrah ,Eastern Time (US & Canada)
6933,570009292885123072,neutral,1.0,,,Delta,,hellotweety_,,0,um wut “@JetBlue: Our fleet's on fleek. http://t.co/M4UWcPxtXJ”,,2015-02-23 15:56:20 -0800,,Eastern Time (US & Canada)
4304,567724189872697348,negative,0.6579,Customer Service Issue,0.3344,United,,mtezna,,0,@united You know what the United Club needs? Power. MOAR power. Insufficient outlets for the #RoadWarrior (ORD),,2015-02-17 08:36:09 -0800,Virginia,Eastern Time (US & Canada)
12178,570268646544510976,negative,1.0,Customer Service Issue,0.3555,American,,weezerandburnie,,0,@AmericanAir It is now going to be reported to the police due to the sexual assult sad that you didn't care,,2015-02-24 09:06:55 -0800,Belle MO,
7526,569543012914565126,negative,1.0,Late Flight,0.7087,Delta,,CookJaycook123,,0,@JetBlue @CookJaycook123 the only update we get is that they have no idea when we will get an update. Way to go. #hopeless,,2015-02-22 09:03:30 -0800,,
5842,568558819959119872,negative,0.6327,Bad Flight,0.3265,Southwest,,scoutout,,0,@SouthwestAir Roger wilco.,,2015-02-19 15:52:40 -0800,"Lincoln, RI",Eastern Time (US & Canada)
6267,568086667258679296,positive,0.6955,,,Southwest,,JacobZiegler,,0,@SouthwestAir @love_dragonss oh my gosh,,2015-02-18 08:36:30 -0800,"Toronto, Canada",Atlantic Time (Canada)
3295,568547007003955200,positive,1.0,,,United,,hartgarfunkel,,0,@united DM sent. Thanks so much for the strong customer service!!,,2015-02-19 15:05:44 -0800,"iPhone: 40.732048,-73.994102",Pacific Time (US & Canada)
5180,569275249725870080,negative,1.0,Lost Luggage,1.0,Southwest,,goodchrism,,0,@SouthwestAir lost bag on flight to Vegas. Now to El Paso. Going to Dallas love. Gate attendant said see if can coordinate to get it to Love,,2015-02-21 15:19:30 -0800,"Boston, MA",Eastern Time (US & Canada)
13488,569850808029859840,positive,0.6845,,0.0,American,,DaileyPursuit,,0,"@AmericanAir no worries, loved flying with you guys. Thanks!",,2015-02-23 05:26:34 -0800,,Central Time (US & Canada)
13924,569690603547697152,negative,1.0,Customer Service Issue,0.6619,American,,agoldenbrown,,0,@AmericanAir i will be writing a very detailed letter to you all about this experience today. I have never experienced such awful cs ever,,2015-02-22 18:49:58 -0800,NYCATL,Eastern Time (US & Canada)
13923,569690664029462529,negative,1.0,Customer Service Issue,1.0,American,,kaps12,,0,@AmericanAir they don't even give an option to hold.. Just say lines are busy Plz try Late Flightr,,2015-02-22 18:50:13 -0800,,
608,570252666439385088,negative,1.0,Late Flight,1.0,United,,RaquelSnyderDC,,0,@United. What's going on with UA 236?  outbound flight last thurs was delayed 4hrs How long will this delay be? #worst2unitedflightsever,,2015-02-24 08:03:25 -0800,"Washington, D.C. Metro Area",Eastern Time (US & Canada)
2672,568962582934978562,negative,1.0,Flight Attendant Complaints,1.0,United,,AbePrescher,,2,"@united passengers seated, crew ready #WheresThePilot? Flt1088 from ORD. Hope he isn't at the bar.",,2015-02-20 18:37:05 -0800,San Diego,
13789,569717605277130752,negative,1.0,Lost Luggage,1.0,American,,mjsorci,,0,@AmericanAir thx for losing my bag. How hard is it to care for a bag w PRIORITY on it?why do u cont to not care for EP's?,,2015-02-22 20:37:16 -0800,,
13542,569837381261533185,negative,1.0,Late Flight,0.362,American,,mjsorci,,0,"@AmericanAir file loc:TJYCQH. Bag at airport since last nite.Not ""scheduled"" to get PU unt aft 8? WHY? U shld b ashamed. I'm disgusted w/u",,2015-02-23 04:33:13 -0800,,
21,570264145116819457,positive,1.0,,,Virgin America,,DT_Les,,0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,"[40.74804263, -73.99295302]",2015-02-24 08:49:01 -0800,,
4803,569714651489050624,negative,1.0,Lost Luggage,0.3473,Southwest,,WillBursch,,0,@SouthwestAir luggage delivery between 1-4am? Really? After I was told by midnight multiple times? Why lie? Crazy and bad business.,,2015-02-22 20:25:32 -0800,"Aurora, OH",Quito
1651,569635090214449152,negative,1.0,Flight Attendant Complaints,0.6631,United,,mathardin,,0,"@united your gate attendant had some snobby remarks, your customer service is like playing poker with my sisters kids!",,2015-02-22 15:09:23 -0800,Corpus Christi,
5818,568574614110117888,negative,1.0,Late Flight,1.0,Southwest,,John_Corl,,2,@SouthwestAir on brd now.frustrated we go 2 #BUF not #ROC.if tld flt was gng 2b held earlier would not be a mess.cng bk unable due to overbk,,2015-02-19 16:55:26 -0800,"Rochester, NY",Quito
11328,568210512405790720,negative,1.0,Flight Attendant Complaints,0.6573,US Airways,,mma718,,0,@USAirways The captain turned off the seat belt sign so people can get up and walk around.  That's not good.,,2015-02-18 16:48:37 -0800,"Queens, New York",
6835,570212129313316864,neutral,1.0,,,Delta,,elias_rubin,,0,@JetBlue I believe that the website said I could receive credit for upcoming flights since I Cancelled Flighted my last one. Is this true?,,2015-02-24 05:22:20 -0800,"New York, NY",Pacific Time (US & Canada)
9866,569633099174322177,negative,0.6563,Customer Service Issue,0.6563,US Airways,,thpx,,0,"@usairways HI again! How you suggested I contacted u via phone, sent a mail with the original ticket &amp; the result: http://t.co/214i0RTIH4",,2015-02-22 15:01:28 -0800,"Bavaria, Germany",Berlin
13398,569872756302422017,neutral,0.6496,,0.0,American,,pei_u_sun,,0,@AmericanAir are you anticipating weather-reLate Flightd Cancelled Flightations for afternoon departures out of AUS today?,,2015-02-23 06:53:47 -0800,,Central Time (US & Canada)
5581,568883988338581504,negative,0.6876,Customer Service Issue,0.3603,Southwest,,mybadtequila,,0,@SouthwestAir needs 2 make me whole Used my tkt back n PHX due 2 rude SNA agent Jacquie Plitt flew @USAirways 2 CABO http://t.co/QxWW1p09a0,,2015-02-20 13:24:46 -0800,"Scottsdale, AZ",Mountain Time (US & Canada)
1095,569928724147077120,positive,1.0,,,United,,hart0277,,0,@united thank you for listening to my compliant and doing the right thing. I appreciate you working with me,,2015-02-23 10:36:11 -0800,Chicago,
2623,568987303302950913,negative,1.0,Customer Service Issue,0.7128,United,,elbrooklyntaco,,1,"@united THAT'S the tweet u choose to answer, to tell me you're not liable?! #youretheworst #neveragain",,2015-02-20 20:15:19 -0800,,
6189,568146404784209920,negative,0.6679,Customer Service Issue,0.3662,Southwest,,DesertDealer,,0,@SouthwestAir I'm smashed into a window by the giant guest sitting next to me. #4386. No way this guy should have been given 1 seat.,,2015-02-18 12:33:53 -0800,Las Vegas,Arizona
6874,570073661241057280,positive,0.6618,,,Delta,,MarkGuerra3,,0,@JetBlue Happy Anniversary!! It's hard to believe you're 15!! You're so young!,,2015-02-23 20:12:06 -0800,805 CA,
6628,567752407166103552,negative,0.6421,Late Flight,0.3474,Southwest,,caralageson,,0,@SouthwestAir can someone help me set up a callback today?,,2015-02-17 10:28:16 -0800,"Cleveland, Ohio",Central Time (US & Canada)
763,570092196247969796,negative,1.0,Late Flight,0.6876,United,,RissaWissa,,0,"Hey @united why does the flight from IAH to POS leave so Late Flight, and the one back to IAH so early? I rather get to POS earlier",,2015-02-23 21:25:46 -0800,,America/Chicago
9139,570156777297350656,negative,0.7109,Can't Tell,0.7109,US Airways,,yorkshire2002,,0,@usairways Thanks so much for ruining my vacation. I really couldn't have done it without you.,,2015-02-24 01:42:23 -0800,Kentucky,Eastern Time (US & Canada)
7289,569686267354599426,positive,0.6831,,,Delta,,bonniebethburke,,0,"@JetBlue pilot: ""Don't worry folks there's a backup for the backup for every part of this plane."" Thanks guy",,2015-02-22 18:32:45 -0800,Austin + Brooklyn,Eastern Time (US & Canada)
11885,570307369328095232,negative,0.667,Customer Service Issue,0.3341,American,,Bossman1908,,0,"@AmericanAir sorry so Late Flight, responded to your DM.",,2015-02-24 11:40:47 -0800,Liverpool,
8470,568220169803325440,negative,1.0,Late Flight,0.6947,Delta,,rabbilaufer,,0,"@JetBlue 1472, FLL to LGA. This is getting old. 4th @JetBlue flight in 2.5 weeks, 4th significant delay.",,2015-02-18 17:27:00 -0800,,Eastern Time (US & Canada)
4407,570267457841033216,positive,1.0,,,Southwest,,_missjoannalee,,0,@SouthwestAir Thx for your quick response and action! bf will make good use of the voucher #satisfied #happycustomer,,2015-02-24 09:02:11 -0800,Canada,Pacific Time (US & Canada)
635,570235686470746112,negative,1.0,Can't Tell,0.6723,United,,8629Fissile,,0,@united Fingers crossed &amp; its all intact. Very disappointed with this experience as before this we were actually saying we enjoyed using you,,2015-02-24 06:55:56 -0800,,London
1916,569521863891804160,neutral,0.6642,,0.0,United,,CressM,,0,@united I6EP18,,2015-02-22 07:39:28 -0800,FL,
5320,569201464658173952,negative,1.0,Customer Service Issue,0.6413,Southwest,,itsEiBE,,0,@SouthwestAir you guys need better communication to your customers. This is rude and unprofessional.,,2015-02-21 10:26:19 -0800,Lost In The Ether,Central Time (US & Canada)
8530,568188639412400128,neutral,0.6913,,0.0,Delta,,revooh2009,,0,@JetBlue my daughter's college game in Denver.  Only one set of parents will be there 😢😢😢,,2015-02-18 15:21:42 -0800,,Eastern Time (US & Canada)
4842,569685259412836354,negative,1.0,Customer Service Issue,0.6362,Southwest,,bmeshoulam,,0,@SouthwestAir Tough I can take. Zero meaningful assistance while stranded for 2 days is another matter. Looking for signs you care abt cust.,,2015-02-22 18:28:44 -0800,"Cambridge, MA",Atlantic Time (Canada)
13589,569817130801221632,negative,1.0,Late Flight,1.0,American,,DanJWillis,,0,@AmericanAir just want to thank you guys for the 27 hour delay for flight AA106 from JFK due to staff shortage and not weather✈️,,2015-02-23 03:12:45 -0800,my top secret gaming facility,Casablanca
12870,569995513623408641,negative,1.0,Late Flight,0.6596,American,,samoss58,,0,"@AmericanAir 3349, was supposed to be in little rock at 10am this morning.",,2015-02-23 15:01:35 -0800,,
9679,569721779645767680,positive,1.0,,,US Airways,,sebastian_mcfox,,0,@USAirways looks like our bag has been rescued. Thanks!,,2015-02-22 20:53:51 -0800,,
6922,570016890996723713,neutral,0.6946,,0.0,Delta,,MCoveteur,,0,Oh yeah? RT @JetBlue: Our fleet's on fleek. http://t.co/FTv2NWWQF1”,,2015-02-23 16:26:31 -0800,"Valsayn, Trinidad",Quito
8499,568205181990637568,neutral,1.0,,,Delta,,josiewarrior,,0,@JetBlue #jetblue #sofly #wish #firststari seetonight http://t.co/pyJAoayNx6,,2015-02-18 16:27:26 -0800,,
843,570054647689322496,positive,1.0,,,United,,AlexanderKrach,,0,@united Terrific. Many thanks. Looking forward to being back on UA tomorrow. Had a great flight up to Vancouver.,,2015-02-23 18:56:33 -0800,,Pacific Time (US & Canada)
11470,568084495078785024,negative,1.0,Customer Service Issue,1.0,US Airways,,djxsv,,0,@USAirways this is crazy. Haven't spoken to a human yet. There has to be a better way. http://t.co/mEOAlCIPdD,,2015-02-18 08:27:52 -0800,"Charlottesville, VA.",Eastern Time (US & Canada)
14173,569658953828732928,negative,1.0,Customer Service Issue,1.0,American,,DuaneNClark,,0,@AmericanAir trying to check in for flight. On line not working &amp; agents too busy to take my call.,,2015-02-22 16:44:13 -0800,The Hague,Pacific Time (US & Canada)
6180,568153578453524480,neutral,0.6771,,0.0,Southwest,,benfetch,,0,@SouthwestAir how come on mobile I can't proceed w/o entering a postcode at purchase. I'm from Ireland and I don't have a postcode just.,,2015-02-18 13:02:23 -0800,,Dublin
11732,567790572833103872,negative,1.0,Cancelled Flight,1.0,US Airways,,Whooeeeee,,0,@USAirways tooooo many Cancelled Flightations! My chain of command hates me now,,2015-02-17 12:59:56 -0800,All Over the Damn Place,Atlantic Time (Canada)
8958,567696188602712064,negative,1.0,Late Flight,1.0,Delta,,elowthers,,0,@JetBlue A flight delay due to pilots oversleeping is apparently an uncontrollable irregularity that is not eligible for delay compensation.,,2015-02-17 06:44:53 -0800,,
3080,568720333634609153,negative,1.0,Customer Service Issue,1.0,United,,LukaszZgiep,,0,@united Why don't you respond to my e-mails of facebook msg?! I'm still wating for my tickets!! I'm getting really angry and disappointed!,,2015-02-20 02:34:28 -0800,"Warsaw, Berlin, Kiev ",
3480,568401790250700800,negative,1.0,Bad Flight,0.6842,United,,WhaddupWorld,,0,@united The flight turned around for mechanical reasons on 1/30/15.  Never to fly United again as they don't check their planes properly.,,2015-02-19 05:28:41 -0800,,
5130,569318991224803328,neutral,1.0,,,Southwest,,NmJean05,,0,@SouthwestAir I am just wondering when are you going to open up fares for November?,,2015-02-21 18:13:19 -0800,"Newark, NJ",Eastern Time (US & Canada)
14303,569639529805688832,negative,1.0,Customer Service Issue,1.0,American,,jameswester,,0,@AmericanAir You guys are totally losing me. I've been an AA fan for years but telling me reps are busy and hanging up on me is really bad.,,2015-02-22 15:27:01 -0800,DFW,Central Time (US & Canada)
13996,569679759250038784,negative,1.0,Customer Service Issue,0.7282,American,,theZuzuPet,,0,@AmericanAir what happened?? We didn't get a notification about a departure Cancelled Flightation tomorrow. Why will it take 2 hrs to talk to someone,,2015-02-22 18:06:53 -0800,"New Orleans, La",
